Transcription-Units,Promoter,Absolute-Plus-1-Position,Binds-Sigma-Factor,Genes,Gene left,Gene right,Transcription-Direction
TU0-8518,PM0-9600,3984455,RPOD-MONOMER,G0-8873,3984455,3984626,+
TU0-14817,PM0-10554,3070757,RPOD-MONOMER,EG10703,3069481,3070644,-
TU00437,PM00436,3210659,RPOD-MONOMER,EG10896,3211069,3212910,+
TU00053,PM00072,416325,RPOD-MONOMER,EG10728 // EG10733,416366 // 417113,417055 // 418408,+
TU0-1581,PM00452,3717912,RPOD-MONOMER,EG10166,3718072,3718284,+
TU0-13872,PM0-9689,3274994,RPOD-MONOMER,G7629 // EG10955,3275359 // 3275024,3275823 // 3275359,+
TU00069,PM00098,4271959,RPOD-MONOMER,EG11061,4269072,4271894,-
TU0-1805,PM0-1986,1366064,RPOD-MONOMER,EG12344,1364959,1365936,-
TU00472,PM00433,3208668,RPOD-MONOMER,EG10920,3208803,3209018,+
TU00085,PM00117,3886434,RPOD-MONOMER,EG11276 // EG11005 // EG11006,3886458 // 3886753 // 3888259,3886532 // 3888168 // 3889506,+
TU0-2082,PM0-2262,1173215,RPOD-MONOMER,EG11619,1169741,1173187,-
TU00488,PM00643,3913349,RPOD-MONOMER,EG10382 // EG11198,3909862 // 3911853,3911691 // 3913223,-
TU00101,PM00142,450877,RPOD-MONOMER,EG10182 // EG10181 // EG10180 // EG10179 // EG10178,446039 // 446941 // 447270 // 447874 // 449887,446929 // 447270 // 447884 // 449865 // 450834,-
TU0-6223,PM00440,3316319,RPOD-MONOMER,EG10743 // EG10914 // EG11177 // EG11178 // EG10505 // EG10665 // EG11179 // EG30061,3307055 // 3309437 // 3309855 // 3310799 // 3311364 // 3314061 // 3315576 // 3316235,3309190 // 3309706 // 3310799 // 3311200 // 3314036 // 3315548 // 3316028 // 3316311,-
TU0-2503,PM00549,1328872,RPOD-MONOMER,EG11013,1329072,1331669,+
TU00504,PM00659,4173404,RPOD-MONOMER,EG11037 // EG30102 // EG30107 // EG30036 // EG30101,4173967 // 4173411 // 4173495 // 4173696 // 4173777,4175151 // 4173486 // 4173579 // 4173770 // 4173852,+
TU00118,PM00159,4359986,RPOD-MONOMER,EG10133,4358419,4359957,-
TU0-6425,PM00371,1686575,RPOD-MONOMER,EG10566,1686600,1687775,+
TU0-1022,PM0-1182,2798678,RPOD-MONOMER,G7401 // G7402 // EG12381 // EG20257,2798745 // 2798987 // 2801524 // 2799370,2798990 // 2799397 // 2802483 // 2801514,+
TU0-2742,PM0-2922,2551227,RPOD-MONOMER,EG12189,2551247,2552146,+
TU00520,PM00675,4360650,RPOD-MONOMER,EG30064,4360574,4360649,-
TU00134,PM00179,4014414,RPOD-MONOMER,EG11045,4014454,4015215,+
TU0-6506,PM00414,2638664,RPOD-MONOMER,EG10453,2637323,2638597,-
TU0-1184,PM0-1344,3939656,RPOD-MONOMER,EG30072 // EG30079 // EG30033 // EG30086,3944723 // 3941727 // 3941458 // 3939831,3944842 // 3944630 // 3941533 // 3941372,+
TU161,PM221,3534729,RPOD-MONOMER,EG10269 // EG10672,3532538 // 3533887,3533890 // 3534606,-
TU0-1261,PM0-1422,4446451,RPOD-MONOMER,EG12096 // EG11250,4446715 // 4446470,4447065 // 4446721,+
TU0-14394,PM0-9552,21833,RPOD-MONOMER,EG11081 // EG11080 // EG10548 // EG10492,26277 // 25826 // 25207 // 22391,27227 // 26275 // 25701 // 25207,+
TU00167,PM00229,1309078,RPOD-MONOMER,EG11012,1309113,1309832,+
TU0-14415,PM0-9577,2424859,RPOD-MONOMER,EG10452 // EG10007 // EG12125 // EG12124,2421758 // 2422539 // 2423252 // 2424028,2422531 // 2423255 // 2423938 // 2424810,-
TU00183,PM00256,3597785,RPOD-MONOMER,EG10539,3596578,3597681,-
TU0-6683,PM00428,2957033,RPOD-MONOMER,EG10786,2954018,2956906,-
TU0-36430,PM0-9420,3338233,RPOD-MONOMER,EG11680 // G7665 // G7664 // G7663 // G7662 // EG12802,3341966 // 3341402 // 3340858 // 3340295 // 3339288 // 3338297,3342691 // 3341959 // 3341433 // 3340861 // 3340274 // 3339274,+
TU0-14448,PM0-9681,932152,RPOD-MONOMER,G6464,932447,936436,+
TU441,PM541,1150798,RPOD-MONOMER,EG12606 // EG50003,1151162 // 1150838,1152403 // 1151074,+
TU00199,PM00280,4285694,RPOD-MONOMER,EG11781 // EG11945 // EG11946 // EG11947 // EG11948 // EG11949 // EG11950,4285787 // 4287268 // 4287831 // 4288499 // 4289535 // 4291186 // 4291566,4287223 // 4287834 // 4288502 // 4289455 // 4291193 // 4291569 // 4292162,+
TU0-13612,PM0-9593,2496421,RPOD-MONOMER,G7242,2495079,2496317,-
TU0-8689,PM0-9651,1257961,RPOD-MONOMER,EG11533,1258014,1258292,+
TU00215,PM00109,4029036,RPOD-MONOMER,EG10278 // EG10279,4025632 // 4026805,4026795 // 4028994,-
TU0-8706,PM0-10367,1622712,RPOD-MONOMER,EG11645,1622797,1623315,+
TU565,PM00355,961082,RPOD-MONOMER,EG10441 // EG10900,963051 // 961218,963335 // 962891,+
TU00232,PM00526,2432037,RPOD-MONOMER,EG10217,2431034,2431948,-
TU0-4181,PM0-4421,3791962,RPOD-MONOMER,EG11424 // EG11189 // EG12210 // EG10838,3794971 // 3794002 // 3792952 // 3792010,3796230 // 3794961 // 3793998 // 3792942,+
TU00281,PM0-8862,3723377,RPOD-MONOMER,EG10410 // EG10409,3720351 // 3722430,3722420 // 3723341,-
TU0-42503,PM0-46217,2753608,RPOD-MONOMER,EG30100,2753615,2753977,+
TU0-42551,PM0-46301,1445394,RPOD-MONOMER,G7961,1445543,1447042,+
TU0-14694,PM0-10238,3906470,RPOD-MONOMER,EG10735 // EG10783,3904876 // 3905616,3905601 // 3906389,-
TU0-9,PM0-10,2194467,RPOD-MONOMER,EG11992,2194496,2195320,+
TU0-4405,PM0-4645,2689145,RPOD-MONOMER,G7345,2687693,2689120,-
TU0-14737,PM0-10352,1234128,RPOD-MONOMER,EG10281,1234161,1234880,+
TU00387,PM00530,1063056,RPOD-MONOMER,EG12194 // EG12193,1061773 // 1062078,1062078 // 1062998,-
TU00008,PM00010,2739223,RPOD-MONOMER,EG11039 // EG10078,2736970 // 2738102,2738091 // 2739172,-
TU0-8485,PM0-10525,4156417,RPOD-MONOMER,EG31116,4156308,4156417,-
TU00024,PM00031,2239732,RPOD-MONOMER,EG10365,2238650,2239690,-
TU0-14795,PM0-10502,1407153,RPOD-MONOMER,G0-10677,1407153,1407271,+
TU0-13449,PM0-10490,1986706,RPOD-MONOMER,EG10921,1986740,1987237,+
TU00040,PM00050,4339673,RPOD-MONOMER,EG11230,4338743,4339651,-
TU0-8522,PM0-9627,506428,RPOD-MONOMER,G0-9382,506428,506511,+
TU0-1482,PM00407,2439663,RPOD-MONOMER,EG10274,2438407,2439627,-
TU0-14255,PM0-9339,1798451,RPOD-MONOMER,EG10881 // EG11231,1797417 // 1797826,1797773 // 1798023,-
TU00440,PM00587,2866804,RPOD-MONOMER,EG10510 // EG12111,2864581 // 2865636,2865573 // 2866775,-
TU0-13466,PM0-9579,2033804,RPOD-MONOMER,G7055,2033859,2034710,+
TU00056,PM00078,4205650,RPOD-MONOMER,EG10792 // EG10795,4202665 // 4203966,4203954 // 4205555,-
TU0-14282,PM0-9403,1984823,RPOD-MONOMER,G7033,1984949,1985452,+
TU0-1841,PM0-2021,2347521,RPOD-MONOMER,EG11422,2346844,2347494,-
TU0-14302,PM0-36176,3571680,RPOD-MONOMER,EG10380 // EG10377 // EG10379 // EG10381 // EG10378,3562157 // 3564623 // 3566056 // 3567369 // 3569339,3564604 // 3566056 // 3567351 // 3569342 // 3571525,-
TU00475,PM00629,2428822,RPOD-MONOMER,EG11044 // EG10794 // EG10169,2426079 // 2426743 // 2428297,2426648 // 2428260 // 2428785,-
TU00088,PM00125,1987669,RPOD-MONOMER,EG11041,1987705,1988916,+
TU00491,PM00646,563926,RPOD-MONOMER,EG30014,563946,564022,+
TU0-6301,PM0-6601,832296,RPOD-MONOMER,EG11357,832293,834443,+
TU0-2521,PM0-2701,840871,RPOD-MONOMER,G6414,838472,840754,-
TU00507,PM00662,696386,RPOD-MONOMER,EG30031 // EG30029 // EG30059 // EG30030 // EG30028 // EG30052 // EG30058,695653 // 695765 // 695887 // 695979 // 696088 // 696186 // 696280,695727 // 695839 // 695963 // 696053 // 696162 // 696270 // 696356,-
TU00121,PM00164,709939,RPOD-MONOMER,EG10359,709423,709869,-
TU0-1062,PM0-1222,4041400,RPOD-MONOMER,EG11297,4041441,4042067,+
TU0-3102,PM00479,3963670,RPOD-MONOMER,EG11031,3963784,3964113,+
TU00523,PM00326,127717,RPOD-MONOMER,EG10543,127912,129336,+
TU00137,PM00185,3735493,RPOD-MONOMER,EG11316,3735520,3737550,+
TU0-1188,PM0-1348,2729354,RPOD-MONOMER,EG30075 // EG30082 // EG30035 // EG30089,2724091 // 2724303 // 2727391 // 2727638,2724210 // 2727206 // 2727466 // 2729179,-
TU0-3305,PM0-3485,1798842,RPOD-MONOMER,EG10881 // EG11231 // EG10506,1797417 // 1797826 // 1798120,1797773 // 1798023 // 1798662,-
TU164,PM224,3775312,RPOD-MONOMER,EG11963 // EG11962 // EG11961,3777850 // 3777077 // 3775422,3779040 // 3777853 // 3777077,+
TU0-6563,PM00499,4272103,RPOD-MONOMER,EG10976,4272148,4272684,+
TU00170,PM00233,3048794,RPOD-MONOMER,EG11810 // EG10371 // EG11442,3044190 // 3047182 // 3047595,3047063 // 3047571 // 3048689,-
TU0-13199,PM0-46326,1337333,RPOD-MONOMER,EG10705,1337354,1338118,+
TU0-12805,PM0-9592,77338,RPOD-MONOMER,EG12094 // G0-9381 // EG11574 // EG11573 // EG11572,75644 // 75516 // 74497 // 72911 // 72229,77299 // 75608 // 75480 // 74521 // 72927,-
TU0-14420,PM0-9618,4577858,RPOD-MONOMER,G0-10610,4577858,4577934,+
TU361,PM442,960388,RPOD-MONOMER,EG10900 // EG11265,961218 // 960424,962891 // 961107,+
TU00186,PM00259,2976972,RPOD-MONOMER,EG10551,2977043,2977978,+
TU0-6687,PM00505,4481942,RPOD-MONOMER,EG11067,4479005,4481860,-
TU0-36433,PM0-36211,3341321,RPOD-MONOMER,EG11680 // G7665,3341966 // 3341402,3342691 // 3341959,+
TU461,PM561,1236732,RPOD-MONOMER,EG11408 // EG11407,1238102 // 1236794,1239172 // 1238092,+
TU0-3963,PM0-4203,621415,RPOD-MONOMER,EG10295 // EG10298 // EG10296,618607 // 619419 // 620408,619422 // 620411 // 621412,-
TU00219,PM00303,4095495,RPOD-MONOMER,EG11866 // EG11867 // EG11868,4091471 // 4092746 // 4094002,4092295 // 4094005 // 4095471,-
TU0-7181,PM0-7521,3851280,RPOD-MONOMER,G0-10201,3851141,3851280,-
TU583,PM683,1346968,RPOD-MONOMER,EG11620,1345002,1346936,-
TU00235,PM981,4338579,RPOD-MONOMER,EG11501,4336277,4338544,-
TU0-7461,PM0-7803,2004139,RPOD-MONOMER,EG11387,2004180,2005667,+
TU0-12871,PM0-44418,292342,RPOD-MONOMER,G6148,291546,292172,-
TU0-14060,PM0-36134,4049331,RPOD-MONOMER,EG11835,4049370,4049879,+
TU00251,PM00339,455801,RPOD-MONOMER,EG10158 // EG10159,455901 // 456650,456524 // 457924,+
TU0-7744,PM0-10331,2166373,RPOD-MONOMER,G7120 // G7122,2165626 // 2166013,2165844 // 2166330,-
TU0-14540,PM0-9823,1073336,RPOD-MONOMER,EG12301,1073465,1074103,+
TU787,PM932,4194882,RPOD-MONOMER,EG11738,4194355,4194831,-
TU0-42461,PM0-46157,1480928,RPOD-MONOMER,G6731,1480279,1480884,-
TU0-14565,PM0-9868,4397075,RPOD-MONOMER,EG10435 // EG10436 // EG10437 // EG10438 // EG10595,4401323 // 4400061 // 4398695 // 4398311 // 4397275,4402327 // 4401320 // 4399975 // 4398619 // 4398225,+
TU862,PM1022,2253274,RPOD-MONOMER,EG12030,2252267,2253208,-
TU00284,PM0-8864,1590506,RPOD-MONOMER,EG10443 // EG10442,1588878 // 1590200,1590200 // 1590466,-
TU0-8242,PM0-8622,1945463,RPOD-MONOMER,EG10925,1944879,1945400,-
TU0-8324,PM0-8704,1277044,RPOD-MONOMER,EG10642,1277180,1278571,+
TU00338,PM0-36158,3331540,RPOD-MONOMER,EG50002 // EG50001,3330884 // 3331162,3331141 // 3331473,-
TU0-42559,PM0-46304,2597828,RPOD-MONOMER,EG11149,2597928,2598500,+
TU0-14171,PM0-10435,4472087,RPOD-MONOMER,G7880,4471363,4472076,-
TU00357,PM921,956818,RPOD-MONOMER,EG10946 // EG10073,956876 // 958035,957964 // 959318,+
TU0-8361,PM0-8743,159151,RPOD-MONOMER,EG11374 // EG10690,157253 // 157729,157732 // 159126,-
TU00373,PM0-2082,440597,RPOD-MONOMER,G6236 // G6237 // EG10508 // EG11098,436385 // 437539 // 439426 // 440325,437359 // 439401 // 440325 // 440567,-
TU0-941,PM0-1101,89596,RPOD-MONOMER,EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085 // EG11084,106557 // 105305 // 103982 // 103155 // 102233 // 100765 // 99644 // 98403 // 97087 // 96002 // 94650 // 93166 // 91413 // 91032 // 90094 // 89634,107474 // 106456 // 105244 // 103985 // 103153 // 102240 // 100711 // 99647 // 98403 // 97084 // 96008 // 94653 // 93179 // 91397 // 91035 // 90092,+
TU0-14740,PM0-10362,4484135,RPOD-MONOMER,EG10694,4482463,4483974,-
TU00011,PM00013,405504,RPOD-MONOMER,EG10082 // EG11093 // EG10083,405629 // 406203 // 406652,406153 // 406394 // 407329,+
TU0-4624,PM0-4864,604676,RPOD-MONOMER,EG50005,603994,604647,-
TU0-14767,PM0-10449,1986025,RPOD-MONOMER,G0-10653,1985897,1985983,-
TU00027,PM00034,4056245,RPOD-MONOMER,EG10385 // EG10387 // EG10383,4051892 // 4053313 // 4054648,4053301 // 4054362 // 4056057,-
TU00043,PM00058,702931,RPOD-MONOMER,EG10634 // EG10636 // EG10632 // EG10633,698797 // 699597 // 700826 // 702034,699549 // 700817 // 701974 // 702834,-
TU0-5021,PM0-5261,3242879,RPOD-MONOMER,EG12734 // G81,3239849 // 3241351,3241336 // 3242763,-
TU0-14262,PM00154,3925054,RPOD-MONOMER,EG11199 // EG10093,3924035 // 3924568,3924478 // 3925026,-
TU00059,PM00081,1735713,RPOD-MONOMER,EG10800,1735868,1736893,+
TU00075,PM00103,3098773,RPOD-MONOMER,EG10046,3097704,3098750,-
TU-8389,PM-8772,925702,RPOD-MONOMER,EG10504,925448,925666,-
TU00478,PM00632,3483973,RPOD-MONOMER,EG11182,3483436,3483840,-
TU00091,PM00129,3551046,RPOD-MONOMER,EG10562,3551107,3553812,+
TU0-5961,PM00486,4122532,RPOD-MONOMER,EG10200,4121454,4122479,-
TU-8408,PM-8794,2011060,RPOD-MONOMER,EG11346,2010724,2011038,-
TU0-2402,PM0-2582,367743,RPOD-MONOMER,M014 // G6205 // M013 // M012 // M011 // M010,372145 // 373092 // 371339 // 370463 // 369501 // 367835,373095 // 374105 // 372148 // 371329 // 370445 // 369499,+
TU00494,PM00652,2284229,RPOD-MONOMER,EG30067,2284233,2284309,+
TU0-13910,PM0-45729,3436695,RPOD-MONOMER,G0-10465,3436453,3436671,-
TU00108,PM00150,3382335,RPOD-MONOMER,EG10576,3381352,3382290,-
TU00510,PM00665,1096899,RPOD-MONOMER,EG30097,1096788,1096875,-
TU0-3122,PM172,510635,RPOD-MONOMER,G6260,508099,510603,-
TU0-14359,PM0-36140,2311474,RPOD-MONOMER,EG10821 // EG12385,2314199 // 2311510,2314849 // 2314182,+
TU00527,PM00585,1753491,RPOD-MONOMER,EG10804,1753722,1755134,+
TU00140,PM00192,2337479,RPOD-MONOMER,EG10423,2334815,2337442,-
TU0-14378,PM00194,357997,RPOD-MONOMER,EG10175 // EG10176,358713 // 358023,359183 // 358682,+
TU00157,PM00217,1545396,RPOD-MONOMER,EG11227 // EG11228 // EG11229,1545425 // 1548485 // 1549362,1548472 // 1549369 // 1550015,+
TU0-8643,PM0-9955,1899796,RPOD-MONOMER,G6997,1898053,1899609,-
TU0-6581,PM0-6881,3276888,RPOD-MONOMER,EG12766 // G7633 // G7632 // G7631,3279144 // 3278723 // 3278239 // 3276936,3279647 // 3279124 // 3278712 // 3278216,+
TU0-14403,PM0-9561,3988797,RPOD-MONOMER,EG10170,3989176,3991722,+
TU341,PM00672,3316397,RPOD-MONOMER,EG10743 // EG10914 // EG11177 // EG11178 // EG10505 // EG10665 // EG11179 // EG30061,3307055 // 3309437 // 3309855 // 3310799 // 3311364 // 3314061 // 3315576 // 3316235,3309190 // 3309706 // 3310799 // 3311200 // 3314036 // 3315548 // 3316028 // 3316311,-
TU00173,PM00238,4116184,RPOD-MONOMER,EG11517 // EG10398 // EG10396,4112592 // 4113737 // 4115268,4113602 // 4115245 // 4116113,-
TU0-36417,PM0-36178,3566415,RPOD-MONOMER,EG10380 // EG10377,3562157 // 3564623,3564604 // 3566056,-
TU0-14423,PM0-9624,2732317,RPOD-MONOMER,G0-10600,2732175,2732317,-
TU00189,PM00264,2248828,RPOD-MONOMER,EG10651,2248862,2249719,+
TU0-6822,PM0-7162,629087,RPOD-MONOMER,EG10167,629117,631222,+
TU483,PM583,2702245,RPOD-MONOMER,EG10247 // EG10693 // EG10832 // EG10270 // EG10857,2698640 // 2699020 // 2699763 // 2700503 // 2701405,2699020 // 2699751 // 2700491 // 2701408 // 2702085,-
TU00205,PM00289,2632129,RPOD-MONOMER,EG10420 // EG10421,2628980 // 2630626,2630557 // 2632092,-
TU525,PM00475,3948313,RPOD-MONOMER,G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG10498 // EG11270,3948530 // 3948583 // 3953354 // 3951501 // 3950507 // 3950224 // 3949646 // 3948345,3948580 // 3949566 // 3954898 // 3953351 // 3951436 // 3950487 // 3950227 // 3948443,+
TU0-14029,PM0-46184,3923697,RPOD-MONOMER,EG10375 // EG10376,3921767 // 3921080,3923656 // 3921703,-
TU0-12858,PM0-9747,257810,RPOD-MONOMER,EG11092,257829,258230,+
TU0-14046,PM0-10360,4002837,RPOD-MONOMER,EG10738,4002885,4003754,+
TU0-7541,PM0-7921,2481653,RPOD-MONOMER,EG11610 // EG11609,2482396 // 2481777,2485989 // 2482391,+
TU0-4187,PM0-4428,1887831,RPOD-MONOMER,G0-9384 // EG11530,1886041 // 1886085,1886126 // 1887770,-
TU00254,PM961,930254,RPOD-MONOMER,EG10012 // EG11405,926697 // 928419,928418 // 930185,-
TU00270,PM00343,611910,RPOD-MONOMER,G0-10437 // EG10299 // EG10264 // EG10297,613165 // 612038 // 613380 // 617477,613383 // 613162 // 617261 // 618610,+
TU0-42465,PM0-46164,1994941,RPOD-MONOMER,EG10935,1994134,1994856,-
TU0-14571,PM0-9877,4601342,RPOD-MONOMER,G7948 // G7947,4602183 // 4601500,4602860 // 4602225,+
TU0-8782,PM0-9218,879876,RPOD-MONOMER,EG10203,879950,881152,+
TU0-42484,PM0-46190,4018001,RPOD-MONOMER,G0-10737,4018001,4018252,+
TU0-8805,PM0-10444,1732186,RPOD-MONOMER,EG12181,1731778,1732125,-
TU0-8245,PM0-8625,1944134,RPOD-MONOMER,EG11136,1944275,1944877,+
TU0-42512,PM00314,3575668,RPOD-MONOMER,EG12629,3575088,3575615,-
TU0-8327,PM0-36183,3214560,RPOD-MONOMER,G7593,3213749,3214513,-
TU0-14680,PM0-10205,255914,RPOD-MONOMER,EG10414,255977,256435,+
TU0-8862,PM0-9298,3511719,RPOD-MONOMER,EG11030,3510656,3511660,-
TU0-13386,PM0-10230,1820326,RPOD-MONOMER,EG10663,1820482,1821309,+
TU0-42584,PM00033,791309,RPOD-MONOMER,EG10363 // EG10366 // EG10362,788054 // 789206 // 790262,789202 // 790252 // 791278,-
TU00377,PM00353,953716,RPOD-MONOMER,EG10701 // EG11258,950495 // 952832,952777 // 953689,-
TU0-14744,PM0-10370,3799159,RPOD-MONOMER,EG11426 // EG11425,3797368 // 3798290,3798219 // 3798988,-
TU00393,PM00537,2796558,RPOD-MONOMER,EG11554,2796113,2796517,-
TU00014,PM00019,2244964,RPOD-MONOMER,EG10155,2242800,2244791,-
TU0-1342,PM326,2058965,RPOD-MONOMER,G7071,2057988,2058938,-
TU0-14772,PM0-10454,4476407,RPOD-MONOMER,G7885,4476496,4476912,+
TU00409,PM00559,4538832,RPOD-MONOMER,EG10309,4538980,4539582,+
TU0-13436,PM0-9400,1927756,RPOD-MONOMER,EG11806,1927072,1927731,-
TU00030,PM00037,2350605,RPOD-MONOMER,EG10391 // EG10392 // EG10393,2350669 // 2352287 // 2353543,2352297 // 2353546 // 2354733,+
TU00046,PM00062,3492009,RPOD-MONOMER,EG10653 // EG10655 // EG10654 // EG10188,3492033 // 3494573 // 3495025 // 3495850,3494576 // 3494899 // 3495831 // 3497223,+
TU0-5061,PM0-5301,4212182,RPOD-MONOMER,EG10581,4212303,4213232,+
TU0-14269,PM0-9355,2912299,RPOD-MONOMER,EG11249 // EG10571 // EG10835,2908778 // 2909113 // 2909439,2909113 // 2909361 // 2911673,-
TU00062,PM00086,2821841,RPOD-MONOMER,EG10823,2820730,2821791,-
TU0-5321,PM0-5561,2458533,RPOD-MONOMER,G7212 // G7213,2455037 // 2457181,2457181 // 2458491,-
TU0-1761,PM00544,1554620,RPOD-MONOMER,EG10680,1554649,1555080,+
TU00465,PM00620,3490452,RPOD-MONOMER,EG10757,3489747,3490319,-
TU00078,PM00107,2889986,RPOD-MONOMER,EG10189 // EG10190 // EG10191,2885600 // 2886409 // 2888121,2886334 // 2888121 // 2889920,-
TU00094,PM00134,4402687,RPOD-MONOMER,EG10790,4402710,4404008,+
TU0-5982,PM00449,3590449,RPOD-MONOMER,EG11050 // EG11048 // EG11049 // EG11046 // EG11047,3585393 // 3586133 // 3587205 // 3588047 // 3589032,3586136 // 3587203 // 3588050 // 3588934 // 3590348,-
TU0-2422,PM170,4465386,RPOD-MONOMER,G0-10689 // EG12525,4465454 // 4465648,4465507 // 4468344,+
TU00497,PM00649,2042565,RPOD-MONOMER,EG30020,2042573,2042648,+
TU00111,PM00152,3488243,RPOD-MONOMER,EG10066,3486982,3488202,-
TU0-6404,PM340,2246582,RPOD-MONOMER,EG11337,2245085,2246554,-
TU0-2649,PM0-2829,1542148,RPOD-MONOMER,EG12153,1540696,1542084,-
TU00513,PM00668,2041586,RPOD-MONOMER,EG30094,2041492,2041581,-
TU00127,PM00171,3220573,RPOD-MONOMER,EG10252 // EG10253,3220655 // 3223744,3223747 // 3224193,+
TU0-13538,PM0-10082,2232011,RPOD-MONOMER,EG11289 // G7145,2233287 // 2232055,2234522 // 2233293,+
TU0-3141,PM0-3321,3467918,RPOD-MONOMER,EG11237,3465182,3467875,-
TU103,PM103,1078391,RPOD-MONOMER,EG10802,1078528,1080036,+
TU00143,PM00195,357933,RPOD-MONOMER,EG11421,357015,357914,-
TU243,PM00501,4377026,RPOD-MONOMER,EG10040,4375834,4376967,-
TU00160,PM00220,4366455,RPOD-MONOMER,EG10095,4364914,4366350,-
TU0-14406,PM0-9567,2836036,RPOD-MONOMER,EG11551,2833195,2835447,-
TU345,PM196,4638535,RPOD-MONOMER,EG10061,4637613,4638329,-
TU0-36420,PM0-36186,3905688,RPOD-MONOMER,EG10735,3904876,3905601,-
TU00192,PM00268,2683596,RPOD-MONOMER,EG10408,2682276,2683529,-
TU0-8682,PM0-10283,1092064,RPOD-MONOMER,G6532,1092099,1093457,+
TU0-6861,PM00322,85453,RPOD-MONOMER,EG10499 // EG10500,87357 // 85630,87848 // 87354,+
TU0-14464,PM0-9708,701231,RPOD-MONOMER,EG10636,699597,700817,-
TU00208,PM00293,4098589,RPOD-MONOMER,EG11313,4097514,4098548,-
TU0-13241,PM0-9409,1439804,RPOD-MONOMER,G6702,1439345,1439767,-
TU0-14487,PM0-9740,4205994,RPOD-MONOMER,EG30074 // EG30081 // EG30034 // EG30088,4211063 // 4208066 // 4207797 // 4206170,4211182 // 4210969 // 4207872 // 4207711,+
TU00225,PM00115,3790600,RPOD-MONOMER,EG10993 // EG10512,3788343 // 3789378,3789368 // 3790574,-
TU00241,PM0-8848,2837451,RPOD-MONOMER,EG10086 // EG10085,2837546 // 2839012,2839003 // 2840436,+
TU793,PM168,1057207,RPOD-MONOMER,EG12615,1056485,1057177,-
TU00274,PM00604,2001841,RPOD-MONOMER,EG10841 // EG11388 // EG11389,2001896 // 2003327 // 2003737,2003302 // 2003737 // 2004102,+
TU0-8765,PM0-36195,3841933,RPOD-MONOMER,EG11692,3841987,3843753,+
TU0-8021,PM0-8401,2585497,RPOD-MONOMER,EG10014,2585617,2588730,+
TU0-14576,PM0-9886,656370,RPOD-MONOMER,EG12179,656515,656724,+
TU00291,PM0-8866,21383,RPOD-MONOMER,EG11079 // EG10492 // EG10548 // EG11080 // EG11081,21407 // 22391 // 25207 // 25826 // 26277,22348 // 25207 // 25701 // 26275 // 27227,+
TU0-8161,PM0-8542,899849,RPOD-MONOMER,EG11628,899067,899798,-
TU0-42492,PM0-46200,3710066,RPOD-MONOMER,EG12268,3708822,3710030,-
TU00309,PM00586,2866851,RPOD-MONOMER,EG10510 // EG12111,2864581 // 2865636,2865573 // 2866775,-
TU0-8263,PM0-8643,3646005,RPOD-MONOMER,G0-9981,3645728,3645811,-
TU00327,PM0-36142,2313717,RPOD-MONOMER,EG10821,2314199,2314849,+
TU0-8330,PM0-8710,2039370,RPOD-MONOMER,G7061,2039399,2040049,+
TU00346,PM0-10188,4423048,RPOD-MONOMER,EG10905 // EG10764 // EG10917 // EG10870,4423141 // 4423543 // 4423862 // 4424131,4423536 // 4423857 // 4424089 // 4424580,+
TU00363,PM0-9657,2868708,RPOD-MONOMER,EG10689 // EG11817,2866915 // 2867535,2867541 // 2868296,-
TU0-8368,PM0-8751,2063996,RPOD-MONOMER,EG12151 // EG12150 // EG13238,2061412 // 2062503 // 2063243,2062491 // 2063246 // 2063788,-
TU0-4285,PM0-4525,57241,RPOD-MONOMER,EG11569,54755,57109,-
TU0-14715,PM0-10276,2543763,RPOD-MONOMER,G7264 // G7263,2544695 // 2543795,2546119 // 2544691,+
TU0-13794,PM0-10228,3053996,RPOD-MONOMER,EG11158 // EG30099,3054263 // 3054005,3054811 // 3054187,+
TU00001,PM00001,4213425,RPOD-MONOMER,EG10023 // EG10022 // EG10026,4213501 // 4215132 // 4216619,4215102 // 4216436 // 4218355,+
TU0-13407,PM0-9688,1878018,RPOD-MONOMER,G6983 // G6982,1877613 // 1877427,1877972 // 1877609,-
TU0-4502,PM0-4742,4311160,RPOD-MONOMER,EG11957 // EG11958 // EG11959 // EG12458 // G7821,4305806 // 4306512 // 4307471 // 4309130 // 4310124,4306501 // 4307492 // 4309003 // 4310065 // 4311014,-
TU00017,PM00024,4614702,RPOD-MONOMER,EG10221 // EG10219 // EG10220 // EG10222,4615346 // 4616252 // 4617626 // 4618906,4616125 // 4617574 // 4618849 // 4619625,+
TU0-14812,PM0-10542,2764882,RPOD-MONOMER,G7366,2765006,2765377,+
TU00049,PM00065,2310852,RPOD-MONOMER,EG10670,2309668,2310771,-
TU0-5082,PM0-5322,1695099,RPOD-MONOMER,G6867,1694486,1695076,-
TU00450,PM00337,431315,RPOD-MONOMER,EG11035,430353,431237,-
TU00065,PM00091,4272034,RPOD-MONOMER,EG10976,4272148,4272684,+
TU0-1782,PM0-1962,1257105,RPOD-MONOMER,EG11404,1255944,1257035,-
TU00468,PM00625,4346787,RPOD-MONOMER,EG10357 // EG10006,4343703 // 4345427,4345349 // 4346767,-
